t,q0,q1,q2,q3,b1,b2,b3
2.0900000000,0.9999791019,0.0016842941,0.0060202946,0.0016477421,0.0002585600,-0.0004662794,-0.0003464747
2.1000000000,0.9999952297,0.0006955658,0.0029594227,0.0005465020,0.0003780155,-0.0000979781,-0.0002146192
2.1100000000,0.9999985745,-0.0003273727,0.0013799256,0.0009163390,0.0005007723,0.0000903625,-0.0002571636
2.1200000000,0.9999894107,-0.0026504412,-0.0012356727,0.0035534256,0.0007788395,0.0004021361,-0.0005709242
2.1300000000,0.9999824306,-0.0036792998,-0.0018920963,0.0042451294,0.0009026741,0.0004821714,-0.0006537652
2.1400000000,0.9999829345,-0.0039305762,-0.0022705961,0.0036777232,0.0009342458,0.0005269338,-0.0005839126
2.1500000000,0.9999923020,-0.0030541011,-0.0009003344,0.0022929840,0.0008287008,0.0003625375,-0.0004158484
2.1600000000,0.9999876372,-0.0035607052,-0.0016694117,0.0030430193,0.0008878774,0.0004546926,-0.0005041638
2.1700000000,0.9999973308,-0.0018129303,0.0010358363,0.0009892730,0.0006771503,0.0001298017,-0.0002579947
2.1800000000,0.9999934367,-0.0024265141,0.0004881408,0.0026457996,0.0007501498,0.0001967551,-0.0004550126
2.1900000000,0.9999919581,-0.0028417884,-0.0005567390,0.0027745392,0.0007996891,0.0003227764,-0.0004698607
2.2000000000,0.9999662461,-0.0044803121,0.0012385061,0.0067749170,0.0009931110,0.0001097027,-0.0009475971
2.2100000000,0.9999603486,-0.0044732947,0.0030691729,0.0070619496,0.0009902353,-0.0001070394,-0.0009843927
2.2200000000,0.9999574171,-0.0041640001,0.0043678252,0.0069819143,0.0009528358,-0.0002608579,-0.0009742928
2.2300000000,0.9999654052,-0.0036378161,0.0045908562,0.0059058187,0.0008896414,-0.0002859712,-0.0008444773
2.2400000000,0.9999634082,-0.0018345713,0.0072841626,0.0040935992,0.0006702862,-0.0006068708,-0.0006290589
2.2500000000,0.9999689112,-0.0010931765,0.0071690939,0.0030960819,0.0005811189,-0.0005908243,-0.0005094350
2.2600000000,0.9999712424,-0.0017778652,0.0059849499,0.0043051118,0.0006625831,-0.0004483891,-0.0006527903
2.2700000000,0.9999734034,-0.0018122004,0.0057246806,0.0041396163,0.0006669176,-0.0004174429,-0.0006324148
2.2800000000,0.9999700759,-0.0022049245,0.0055683730,0.0048968194,0.0007149039,-0.0003978791,-0.0007216576
2.2900000000,0.9999644461,-0.0026351085,0.0055923220,0.0057348713,0.0007666826,-0.0003989175,-0.0008204434
2.3000000000,0.9999822433,-0.0025273733,0.0045985949,0.0028246101,0.0007516195,-0.0002787044,-0.0004732521
2.3100000000,0.9999796184,-0.0041634413,0.0023795933,0.0042149796,0.0009505042,-0.0000125888,-0.0006354150
2.3200000000,0.9999803175,-0.0041677492,0.0028724182,0.0037072427,0.0009493529,-0.0000719816,-0.0005735955
2.3300000000,0.9999877282,-0.0030228522,0.0036868563,0.0013464674,0.0008104449,-0.0001683077,-0.0002908709
2.3400000000,0.9999867255,-0.0033061260,0.0033605468,0.0020796813,0.0008445897,-0.0001269373,-0.0003776490
